customer_id,name,email,city,signup_date
C0001,Customer_1,user1@example.com,Pune,2023-02-25
C0002,Customer_2,user2@example.com,Mumbai,2023-07-15
C0003,Customer_3,user3@example.com,Mumbai,2023-01-20
C0004,Customer_4,user4@example.com,Pune,2023-08-29
C0005,Customer_5,user5@example.com,Bangalore,2023-04-24
C0006,Customer_6,user6@example.com,Delhi,2023-04-13
C0007,Customer_7,user7@example.com,Delhi,2023-08-24
C0008,Customer_8,user8@example.com,Delhi,2023-06-29
C0009,Customer_9,user9@example.com,Pune,2023-06-06
C0010,Customer_10,user10@example.com,Mumbai,2023-04-27
C0011,Customer_11,user11@example.com,Pune,2023-04-25
C0012,Customer_12,user12@example.com,Pune,2023-01-13
C0013,Customer_13,user13@example.com,Hyderabad,2023-12-04
C0014,Customer_14,user14@example.com,Mumbai,2023-04-09
C0015,Customer_15,user15@example.com,Hyderabad,2023-07-24
C0016,Customer_16,user16@example.com,Chennai,2023-06-18
C0017,Customer_17,user17@example.com,Mumbai,2023-05-23
C0018,Customer_18,user18@example.com,Mumbai,2023-02-05
C0019,Customer_19,user19@example.com,Mumbai,2023-05-23
C0020,Customer_20,user20@example.com,Delhi,2023-06-29
C0021,Customer_21,user21@example.com,Delhi,2023-11-25
C0022,Customer_22,user22@example.com,Hyderabad,2023-09-18
C0023,Customer_23,user23@example.com,Hyderabad,2023-07-24
C0024,Customer_24,user24@example.com,Mumbai,2023-12-14
C0025,Customer_25,user25@example.com,Hyderabad,2023-10-02
C0026,Customer_26,user26@example.com,Delhi,2023-06-19
C0027,Customer_27,user27@example.com,Pune,2023-01-15
C0028,Customer_28,user28@example.com,Pune,2023-03-01
C0029,Customer_29,user29@example.com,Pune,2023-05-14
C0030,Customer_30,user30@example.com,Hyderabad,2023-04-02
C0031,Customer_31,user31@example.com,Chennai,2023-10-25
C0032,Customer_32,user32@example.com,Delhi,2023-05-16
C0033,Customer_33,user33@example.com,Chennai,2023-01-20
